employee_id,name,company,ticker,department,level,performance_score,total_compensation_usd,tenure_years,potential_index,origin_region,socioeconomic_origin,first_generation_professional,adversity_origin_score,mental_strength
AVGO-0059,Fatima Anderson,Broadcom,AVGO,Sales & GTM,Staff,53.8,375300,1.7,74.3,South Asia,Affluent,No,20.3,48.2
AVGO-0060,Emily Singh,Broadcom,AVGO,Fab/Manufacturing,Principal,73.4,540900,10.3,50.8,North America,Middle,Yes,58.2,66.8
AVGO-0061,Aisha Silva,Broadcom,AVGO,Engineering,Senior,54.7,187900,5.2,58.9,North America,Middle,No,47.1,64.0
AVGO-0062,Fatima Anderson,Broadcom,AVGO,Engineering,Staff,67.2,295700,7.1,78.8,Southeast Asia,Upper-middle,No,43.4,80.3
AVGO-0063,Carlos Murphy,Broadcom,AVGO,Engineering,Staff,83.5,106000,12.8,53.0,East Asia,Affluent,No,17.6,64.7
AVGO-0064,Raj Wilson,Broadcom,AVGO,Research & AI,Senior,65.7,113800,8.0,54.8,North America,Middle,Yes,74.0,85.6
AVGO-0065,Olivia Kim,Broadcom,AVGO,Engineering,Principal,81.8,202700,13.4,70.5,North America,Upper-middle,No,44.4,62.4
AVGO-0066,Grace Wang,Broadcom,AVGO,Legal & Policy,Senior Director,79.1,326700,8.4,71.2,East Asia,Middle,No,49.4,74.9
AVGO-0067,Yuki Patel,Broadcom,AVGO,Sales & GTM,Senior,80.7,440300,5.8,62.8,Southeast Asia,Upper-middle,No,37.8,97.9
AVGO-0068,Mary Garcia,Broadcom,AVGO,Quality,Senior,71.5,135600,4.1,63.9,North America,Working class,No,73.7,72.0
AVGO-0069,Arjun Park,Broadcom,AVGO,Sales & GTM,Senior,91.0,142800,3.3,70.0,North America,Lower-middle,Yes,77.3,63.8
AVGO-0070,Linda Davis,Broadcom,AVGO,Sales & GTM,Staff,77.1,169200,13.7,58.3,North America,Affluent,No,31.7,69.3
AVGO-0071,Yuki Silva,Broadcom,AVGO,Quality,Principal,69.0,320200,8.5,73.2,South Asia,Middle,Yes,71.4,74.0
AVGO-0072,Mary Martinez,Broadcom,AVGO,Engineering,Principal,74.9,768300,8.0,67.7,Latin America,Lower-middle,No,72.4,62.9
AVGO-0073,Ahmed Wilson,Broadcom,AVGO,Fab/Manufacturing,Principal,90.6,581100,4.7,60.2,North America,Middle,No,44.3,69.0
AVGO-0074,Kevin Anderson,Broadcom,AVGO,Operations,Principal,72.1,114100,2.8,73.6,North America,Middle,Yes,71.1,82.0
AVGO-0075,Emily Kim,Broadcom,AVGO,Engineering,Staff,86.7,236000,6.7,60.8,East Asia,Middle,No,39.4,67.4
AVGO-0076,Carlos Reyes,Broadcom,AVGO,Operations,Staff,60.2,140100,5.6,78.4,South Asia,Middle,Yes,58.5,89.6
AVGO-0077,John Wilson,Broadcom,AVGO,Finance,Senior Director,78.5,832900,5.6,70.2,South Asia,Affluent,No,16.2,79.3
AVGO-0078,Olivia Cohen,Broadcom,AVGO,Engineering,Senior,67.0,69200,5.8,54.8,East Asia,Upper-middle,No,31.1,55.5
AVGO-0079,Olivia Kim,Broadcom,AVGO,Finance,Staff,66.6,273100,4.6,61.8,North America,Working class,Yes,79.0,80.0
AVGO-0080,Raj Martinez,Broadcom,AVGO,Engineering,Staff,78.6,145600,3.2,66.6,North America,Upper-middle,No,31.9,57.6
AVGO-0081,Fatima Yamamoto,Broadcom,AVGO,Engineering,Senior,75.2,283100,3.0,57.1,North America,Middle,No,57.0,81.4
AVGO-0082,Grace Garcia,Broadcom,AVGO,People/HR,SVP,75.4,2482900,9.6,74.2,North America,Lower-middle,No,63.7,71.8
AVGO-0083,Arjun Murphy,Broadcom,AVGO,Fab/Manufacturing,Principal,76.4,863900,3.6,58.8,North America,Middle,No,50.0,64.8
AVGO-0084,Kevin Kim,Broadcom,AVGO,Quality,Principal,82.0,351600,4.8,71.8,Africa,Lower-middle,Yes,82.7,55.2
AVGO-0085,Daniel Hassan,Broadcom,AVGO,Operations,Director,81.1,756400,8.0,68.6,East Asia,Lower-middle,No,80.6,82.6
AVGO-0086,Carlos Chen,Broadcom,AVGO,Legal & Policy,Principal,66.4,681600,11.6,60.4,North America,Lower-middle,Yes,68.7,76.4
AVGO-0087,Samuel Reyes,Broadcom,AVGO,Sales & GTM,Senior,78.0,205900,6.1,71.8,South Asia,Lower-middle,No,62.5,58.1
AVGO-0088,Ahmed Khan,Broadcom,AVGO,Fab/Manufacturing,Staff,56.9,204700,5.3,55.6,Middle East,Upper-middle,No,31.3,58.5
AVGO-0089,Sofia Kim,Broadcom,AVGO,Engineering,Director,81.1,404400,5.3,57.6,Europe,Working class,Yes,74.0,59.5
AVGO-0090,David Smith,Broadcom,AVGO,Sales & GTM,Senior,90.3,172500,3.9,64.0,North America,Working class,Yes,100.0,76.1
AVGO-0091,Emily Tanaka,Broadcom,AVGO,Supply Chain,Director,91.5,489600,4.0,68.0,South Asia,Working class,No,88.0,76.1
AVGO-0092,Priya Rossi,Broadcom,AVGO,Fab/Manufacturing,Principal,78.1,357400,13.4,72.4,East Asia,Upper-middle,No,36.3,63.4
AVGO-0093,Ahmed Brown,Broadcom,AVGO,Research & AI,Senior,96.3,324800,6.0,68.8,Europe,Upper-middle,No,30.3,74.8
AVGO-0094,Mary Wang,Broadcom,AVGO,Research & AI,Director,81.9,376000,9.1,76.3,North America,Working class,Yes,78.2,67.3
AVGO-0095,Hiroshi Lee,Broadcom,AVGO,Operations,Senior,74.1,212000,4.8,64.2,North America,Lower-middle,Yes,73.2,73.8
AVGO-0096,Thomas Lopez,Broadcom,AVGO,Engineering,C-Suite,71.6,4231400,8.6,72.5,Southeast Asia,Middle,Yes,50.9,60.9
AVGO-0097,Olivia Tanaka,Broadcom,AVGO,Research & AI,Director,80.3,610800,4.5,71.3,East Asia,Middle,No,58.3,64.4
AVGO-0098,Carlos Smith,Broadcom,AVGO,Engineering,Senior,70.0,227800,7.9,52.9,East Asia,Lower-middle,No,60.2,77.5
AVGO-0099,David Martinez,Broadcom,AVGO,Sales & GTM,Staff,80.7,166700,9.1,67.8,North America,Affluent,No,18.5,53.1
AVGO-0100,Grace Ali,Broadcom,AVGO,Supply Chain,Director,87.2,810800,9.4,79.6,South Asia,Middle,Yes,62.6,75.7
AVGO-0101,Aisha Wang,Broadcom,AVGO,Finance,Principal,82.5,408400,6.3,73.9,Europe,Upper-middle,No,34.1,66.6
AVGO-0102,Elena Rossi,Broadcom,AVGO,Operations,Director,73.8,1000400,7.8,67.8,North America,Affluent,No,12.1,64.0
AVGO-0103,Emily Reyes,Broadcom,AVGO,Research & AI,Principal,80.7,348000,15.1,76.2,South Asia,Middle,No,44.2,65.9
AVGO-0104,Maria Lee,Broadcom,AVGO,Operations,Senior,76.8,253500,5.0,69.8,North America,Working class,Yes,95.7,62.8
AVGO-0105,James Ali,Broadcom,AVGO,Research & AI,Principal,69.5,159300,6.9,55.7,North America,Lower-middle,Yes,76.1,61.1
AVGO-0106,Mary Chen,Broadcom,AVGO,Engineering,Principal,80.5,492300,16.9,66.8,South Asia,Lower-middle,No,57.5,64.5
AVGO-0107,Zoe Okafor,Broadcom,AVGO,Operations,Principal,74.7,196800,4.3,62.3,East Asia,Middle,No,54.8,59.3
AVGO-0108,Grace Wilson,Broadcom,AVGO,Fab/Manufacturing,Staff,97.9,388400,2.9,69.8,North America,Affluent,No,29.5,78.8
AVGO-0109,James Tanaka,Broadcom,AVGO,Finance,Director,60.5,265800,8.4,62.7,North America,Lower-middle,Yes,71.1,57.1
AVGO-0110,Elena Lee,Broadcom,AVGO,Sales & GTM,Staff,87.5,919200,6.4,72.2,East Asia,Lower-middle,Yes,86.8,64.2
AVGO-0111,Daniel Silva,Broadcom,AVGO,Sales & GTM,Director,76.1,604500,8.1,80.2,North America,Middle,No,51.3,78.2
AVGO-0112,Grace Okafor,Broadcom,AVGO,Quality,Principal,77.4,1394600,9.7,81.6,North America,Middle,Yes,57.9,83.9
AVGO-0113,Carlos Ali,Broadcom,AVGO,Fab/Manufacturing,Principal,73.7,577300,4.6,70.3,South Asia,Working class,Yes,78.6,82.1
AVGO-0114,John Singh,Broadcom,AVGO,Engineering,Director,79.2,227600,6.4,60.6,North America,Working class,Yes,95.2,72.6
AVGO-0115,Thomas Ali,Broadcom,AVGO,Operations,Senior Director,93.9,1748700,7.3,77.4,Latin America,Working class,Yes,97.5,91.9
AVGO-0116,John Anderson,Broadcom,AVGO,Engineering,Staff,84.8,390800,13.1,68.4,Europe,Working class,Yes,95.1,72.2
AVGO-0117,Wei Singh,Broadcom,AVGO,Operations,Senior,75.2,112500,2.7,65.5,North America,Middle,Yes,62.1,74.9
AVGO-0118,John Petrov,Broadcom,AVGO,Supply Chain,Staff,79.4,194900,5.9,67.6,East Asia,Middle,No,51.4,73.2
AVGO-0119,Nina Petrov,Broadcom,AVGO,Engineering,Staff,79.4,508200,5.0,67.0,South Asia,Lower-middle,No,62.6,48.4
AVGO-0120,Emily Rossi,Broadcom,AVGO,Fab/Manufacturing,Senior,97.8,285700,8.9,57.3,North America,Lower-middle,Yes,69.4,70.9
AVGO-0121,Hiroshi Tanaka,Broadcom,AVGO,Fab/Manufacturing,Staff,60.8,89800,11.0,72.5,North America,Working class,Yes,81.9,74.2
AVGO-0122,Carlos Anderson,Broadcom,AVGO,Engineering,Principal,89.5,431700,6.3,57.8,South Asia,Affluent,No,34.2,49.8
AVGO-0123,Yuki Davis,Broadcom,AVGO,Operations,Senior,81.2,506800,2.2,70.7,North America,Middle,No,51.8,71.5
AVGO-0124,Sofia Okafor,Broadcom,AVGO,Fab/Manufacturing,Principal,89.1,311500,16.9,57.2,South Asia,Upper-middle,No,30.9,59.0
AVGO-0125,Priya Johnson,Broadcom,AVGO,Engineering,Senior,82.1,545800,4.1,63.7,South Asia,Working class,Yes,100.0,71.7
AVGO-0126,Chen Johnson,Broadcom,AVGO,Quality,Staff,54.1,506600,12.0,84.3,North America,Upper-middle,No,45.0,83.4
AVGO-0127,Raj Wang,Broadcom,AVGO,Fab/Manufacturing,Principal,100.0,157300,6.0,73.6,North America,Upper-middle,No,31.8,64.5
AVGO-0128,Carlos Nguyen,Broadcom,AVGO,Operations,Principal,74.6,1217300,3.3,70.1,East Asia,Middle,No,52.0,59.2
AVGO-0129,Raj Silva,Broadcom,AVGO,Engineering,Staff,72.3,380400,5.7,69.3,North America,Middle,No,45.6,81.6
AVGO-0130,John Tanaka,Broadcom,AVGO,Research & AI,Senior,84.7,105800,7.2,65.5,South Asia,Lower-middle,Yes,82.5,85.5
AVGO-0131,Emily Anderson,Broadcom,AVGO,Engineering,Staff,71.9,378900,2.5,57.3,North America,Middle,Yes,51.2,76.8
AVGO-0132,Daniel Davis,Broadcom,AVGO,Research & AI,Senior,67.1,157600,6.1,64.3,Southeast Asia,Middle,No,47.4,83.8
AVGO-0133,Arjun Schmidt,Broadcom,AVGO,Engineering,VP,89.1,570300,7.8,61.5,North America,Middle,No,57.5,78.1
AVGO-0134,Nina Chen,Broadcom,AVGO,Engineering,Staff,95.3,330500,8.3,62.1,Latin America,Middle,Yes,60.7,90.6
AVGO-0135,Grace Lee,Broadcom,AVGO,Engineering,SVP,92.2,1009300,9.7,77.6,North America,Upper-middle,No,32.8,89.2
AVGO-0136,Maria Patel,Broadcom,AVGO,Fab/Manufacturing,Principal,55.8,391500,7.0,62.5,Europe,Working class,Yes,94.2,72.4
AVGO-0137,Olivia Patel,Broadcom,AVGO,Legal & Policy,Staff,92.3,368500,8.6,62.8,South Asia,Lower-middle,No,78.3,66.1
AVGO-0138,Mary Chen,Broadcom,AVGO,Operations,Senior,66.7,203800,3.4,51.4,North America,Working class,No,89.5,73.5
AVGO-0139,Hannah Kim,Broadcom,AVGO,Quality,Director,64.1,460300,2.8,74.8,Africa,Working class,Yes,90.3,85.7
AVGO-0140,Thomas Khan,Broadcom,AVGO,Supply Chain,Staff,73.2,466800,7.1,53.1,North America,Upper-middle,No,40.9,52.7
AVGO-0141,Olivia Yamamoto,Broadcom,AVGO,Fab/Manufacturing,Principal,94.4,1076700,9.2,63.0,North America,Middle,No,50.0,73.7
AVGO-0142,Sofia Okafor,Broadcom,AVGO,Operations,Principal,84.1,362200,3.8,69.1,South Asia,Affluent,No,20.7,83.3
AVGO-0143,Fatima Brown,Broadcom,AVGO,Engineering,Principal,91.4,478300,3.3,58.9,North America,Lower-middle,Yes,63.1,78.7
AVGO-0144,David Reyes,Broadcom,AVGO,Fab/Manufacturing,VP,76.1,1584900,12.4,61.8,Latin America,Middle,No,48.5,74.3
AVGO-0145,Olivia Lopez,Broadcom,AVGO,Supply Chain,Principal,70.2,771800,6.9,64.4,Europe,Middle,No,53.5,85.6
AVGO-0146,Linda Wilson,Broadcom,AVGO,Engineering,Principal,86.4,435200,4.8,79.4,North America,Lower-middle,No,73.2,69.4
AVGO-0147,Olivia Okafor,Broadcom,AVGO,Sales & GTM,Senior,75.6,363500,7.8,66.7,North America,Affluent,No,24.6,73.2
AVGO-0148,Wei Nguyen,Broadcom,AVGO,Research & AI,Senior,83.7,311600,8.6,62.0,East Asia,Lower-middle,No,65.2,85.1
AVGO-0149,David Ali,Broadcom,AVGO,Operations,Principal,74.0,743000,3.3,63.1,South Asia,Lower-middle,Yes,78.3,70.7
AVGO-0150,Fatima Nguyen,Broadcom,AVGO,Fab/Manufacturing,Senior,92.3,91800,8.0,57.8,North America,Upper-middle,No,34.1,59.9
AVGO-0151,James Chen,Broadcom,AVGO,Engineering,Staff,84.4,553400,5.9,64.4,South Asia,Upper-middle,No,26.0,54.0
AVGO-0152,Emily Chen,Broadcom,AVGO,Engineering,Staff,86.5,274800,3.5,67.8,North America,Middle,Yes,49.3,81.4
AVGO-0153,David Wilson,Broadcom,AVGO,Engineering,Senior,76.4,139200,9.2,58.8,North America,Affluent,No,19.6,60.9
AVGO-0154,Zoe Kim,Broadcom,AVGO,Fab/Manufacturing,Principal,77.4,602600,12.1,62.8,North America,Affluent,No,29.6,73.3
AVGO-0155,Chen Chen,Broadcom,AVGO,Supply Chain,Director,83.2,194700,12.7,69.0,East Asia,Lower-middle,No,72.5,83.6
AVGO-0156,James Petrov,Broadcom,AVGO,Finance,Staff,81.8,410900,9.6,53.5,North America,Working class,No,84.0,56.3
AVGO-0157,Samuel Anderson,Broadcom,AVGO,Fab/Manufacturing,Principal,73.5,454500,4.3,69.6,Latin America,Middle,No,54.1,78.8
AVGO-0158,Olivia Lee,Broadcom,AVGO,Engineering,Principal,67.7,343400,2.5,68.0,East Asia,Lower-middle,Yes,63.7,64.4
AVGO-0159,Kevin Murphy,Broadcom,AVGO,Engineering,Senior,80.4,213400,10.0,62.8,North America,Upper-middle,No,20.7,66.3
AVGO-0160,Hannah Brown,Broadcom,AVGO,Fab/Manufacturing,Principal,74.6,455900,7.0,78.5,North America,Upper-middle,Yes,40.3,75.0
AVGO-0161,Hannah Hassan,Broadcom,AVGO,Engineering,Director,82.0,529600,8.8,71.4,North America,Middle,No,51.7,60.3
AVGO-0162,Hiroshi Ali,Broadcom,AVGO,Research & AI,Senior Director,75.8,685800,19.6,67.2,North America,Upper-middle,No,52.5,69.1
AVGO-0163,Maria Petrov,Broadcom,AVGO,Engineering,Director,94.2,521400,4.7,63.4,South Asia,Lower-middle,Yes,79.9,76.1
AVGO-0164,Kevin Park,Broadcom,AVGO,Engineering,Senior,75.6,86200,8.5,80.8,North America,Working class,Yes,98.4,89.9
AVGO-0165,Aisha Silva,Broadcom,AVGO,Fab/Manufacturing,Senior,89.0,53900,3.4,71.4,North America,Affluent,No,22.0,67.6
AVGO-0166,Carlos Lopez,Broadcom,AVGO,Quality,Staff,86.2,631800,9.4,62.0,East Asia,Upper-middle,No,39.2,72.3
AVGO-0167,Olivia Reyes,Broadcom,AVGO,Fab/Manufacturing,Principal,89.8,729800,4.0,67.6,North America,Lower-middle,No,75.9,69.7
AVGO-0168,James Tanaka,Broadcom,AVGO,Engineering,Senior,69.6,144100,4.2,57.3,North America,Middle,No,61.7,78.0
AVGO-0169,Daniel Singh,Broadcom,AVGO,Engineering,Senior,49.8,179300,4.8,63.0,South Asia,Upper-middle,No,38.4,71.4
AVGO-0170,Daniel Rossi,Broadcom,AVGO,Engineering,Senior,80.2,693100,9.2,78.1,North America,Working class,Yes,99.4,75.9
AVGO-0171,Ahmed Petrov,Broadcom,AVGO,Fab/Manufacturing,Principal,83.0,607300,5.2,57.3,Middle East,Middle,No,56.4,72.3
AVGO-0172,Sofia Wang,Broadcom,AVGO,Engineering,Staff,96.4,256800,3.0,72.4,North America,Working class,Yes,91.2,91.2
AVGO-0173,Nina Schmidt,Broadcom,AVGO,Engineering,Senior,85.9,302200,6.6,67.0,Middle East,Affluent,No,29.1,59.7
AVGO-0174,Emily Reyes,Broadcom,AVGO,Engineering,VP,86.8,3834000,6.7,70.4,North America,Middle,No,55.6,68.0
AVGO-0175,Michael Reyes,Broadcom,AVGO,Engineering,Senior,79.7,174300,17.5,53.9,South Asia,Lower-middle,Yes,74.1,62.4
AVGO-0176,Zoe Johnson,Broadcom,AVGO,Sales & GTM,Staff,100.0,453200,4.7,81.4,Oceania,Working class,Yes,100.0,82.9
AVGO-0177,Chen Schmidt,Broadcom,AVGO,Engineering,Principal,66.2,536500,5.1,70.4,South Asia,Lower-middle,Yes,72.0,66.7
AVGO-0178,Thomas Chen,Broadcom,AVGO,Operations,Director,87.2,635500,3.9,71.2,East Asia,Lower-middle,Yes,70.2,61.4
AVGO-0179,Raj Ali,Broadcom,AVGO,Engineering,Senior,93.2,386600,12.1,69.3,South Asia,Middle,Yes,66.5,69.6
AVGO-0180,Grace Petrov,Broadcom,AVGO,Fab/Manufacturing,Principal,79.0,578800,4.2,69.5,North America,Lower-middle,No,78.4,75.1
AVGO-0181,Sofia Lee,Broadcom,AVGO,Engineering,Director,88.1,1469600,7.9,76.5,North America,Upper-middle,No,43.8,70.9
AVGO-0182,Samuel Chen,Broadcom,AVGO,Operations,Senior Director,80.8,2376400,9.1,73.9,Africa,Affluent,No,25.1,57.5
AVGO-0183,Elena Brown,Broadcom,AVGO,Engineering,Senior,78.6,99000,4.3,65.5,North America,Middle,No,60.8,76.4
AVGO-0184,Thomas Nguyen,Broadcom,AVGO,Engineering,Staff,89.8,645500,10.3,60.3,Oceania,Working class,No,74.0,63.1
AVGO-0185,Thomas Rossi,Broadcom,AVGO,Research & AI,Senior,100.0,231700,13.9,58.1,South Asia,Middle,No,47.9,68.6
AVGO-0186,Nina Park,Broadcom,AVGO,Fab/Manufacturing,Senior,88.8,181900,4.0,64.9,North America,Upper-middle,No,32.2,69.1
AVGO-0187,Fatima Patel,Broadcom,AVGO,Fab/Manufacturing,Senior,73.0,365300,6.5,66.7,North America,Lower-middle,No,65.4,69.1
AVGO-0188,John Chen,Broadcom,AVGO,Engineering,Director,74.8,360800,7.6,80.0,North America,Lower-middle,Yes,66.0,67.1
AVGO-0189,Samuel Anderson,Broadcom,AVGO,Engineering,Director,90.3,837700,7.4,66.9,North America,Upper-middle,No,37.5,71.3
AVGO-0190,Fatima Brown,Broadcom,AVGO,Quality,Principal,79.2,493000,2.6,67.8,North America,Lower-middle,Yes,70.7,58.6
