employee_id,name,company,ticker,department,level,performance_score,total_compensation_usd,tenure_years,potential_index,origin_region,socioeconomic_origin,first_generation_professional,adversity_origin_score,mental_strength
2222-0023,Amal Al-Zahrani,Saudi Aramco,2222.SR,Refining & Chemicals,Staff,70.8,124400,15.7,58.8,Middle East,Lower-middle,Yes,74.7,69.1
2222-0024,Hamad Al-Qahtani,Saudi Aramco,2222.SR,Legal & Policy,Director,87.3,692000,7.0,68.7,Middle East,Working class,Yes,95.0,61.3
2222-0025,Mohammed Al-Harbi,Saudi Aramco,2222.SR,Refining & Chemicals,Principal,81.6,500800,16.6,58.9,Middle East,Middle,No,57.3,73.2
2222-0026,Fatima Al-Otaibi,Saudi Aramco,2222.SR,HSE/Safety,Staff,83.8,232600,10.2,58.5,Middle East,Lower-middle,Yes,78.2,69.7
2222-0027,Sara Al-Hassan,Saudi Aramco,2222.SR,Sales & Trading,Senior Director,81.9,333600,11.0,79.8,Middle East,Upper-middle,No,33.5,75.5
2222-0028,Yousef Al-Ghamdi,Saudi Aramco,2222.SR,Refining & Chemicals,Director,90.5,110300,23.9,76.9,Middle East,Working class,No,84.1,90.9
2222-0029,Rana Al-Sulaiman,Saudi Aramco,2222.SR,Upstream/Engineering,Senior,74.3,151400,13.0,63.9,Middle East,Working class,Yes,100.0,71.1
2222-0030,Huda Al-Dossari,Saudi Aramco,2222.SR,Upstream/Engineering,Senior,69.2,233600,8.5,64.3,Middle East,Working class,Yes,100.0,74.8
2222-0031,Aisha Al-Juhani,Saudi Aramco,2222.SR,Finance,Director,75.2,170700,9.0,63.1,Middle East,Lower-middle,No,58.5,82.1
2222-0032,Maryam Bin Laden,Saudi Aramco,2222.SR,Finance,Senior,74.6,162300,5.4,68.3,Middle East,Middle,No,56.3,61.7
2222-0033,Huda Al-Hassan,Saudi Aramco,2222.SR,Operations,VP,90.4,1075700,13.8,75.7,Middle East,Middle,Yes,59.0,77.3
2222-0034,Hamad Al-Rashid,Saudi Aramco,2222.SR,Upstream/Engineering,Senior,93.2,166000,13.8,47.9,Middle East,Working class,Yes,87.2,82.9
2222-0035,Omar Al-Shehri,Saudi Aramco,2222.SR,Refining & Chemicals,Senior,86.6,177600,9.6,75.9,Middle East,Middle,No,52.1,59.3
2222-0036,Hessa Bin Laden,Saudi Aramco,2222.SR,Upstream/Engineering,Principal,88.4,280900,8.5,72.3,Middle East,Middle,No,63.8,85.4
2222-0037,Majed Al-Rashid,Saudi Aramco,2222.SR,Upstream/Engineering,Senior,87.0,191700,11.3,64.0,South Asia,Working class,Yes,89.8,77.7
2222-0038,Saud Al-Amri,Saudi Aramco,2222.SR,Operations,Senior Director,91.5,192900,19.2,71.5,Middle East,Middle,Yes,62.0,71.3
2222-0039,Lina Al-Shehri,Saudi Aramco,2222.SR,Supply Chain,Senior Director,65.6,411000,8.1,55.1,Middle East,Lower-middle,Yes,81.7,66.1
2222-0040,Noura Al-Zahrani,Saudi Aramco,2222.SR,Upstream/Engineering,Director,72.8,226200,3.3,75.9,Middle East,Working class,Yes,87.5,57.2
2222-0041,Sara Al-Anazi,Saudi Aramco,2222.SR,Operations,Principal,88.0,285600,5.3,62.0,South Asia,Middle,No,54.2,71.1
2222-0042,Hessa Al-Shehri,Saudi Aramco,2222.SR,Upstream/Engineering,Staff,76.1,153900,5.7,68.8,South Asia,Middle,Yes,70.4,80.7
2222-0043,Khalid Al-Amri,Saudi Aramco,2222.SR,Supply Chain,Senior,79.1,94000,9.7,53.2,Middle East,Middle,No,36.4,68.1
2222-0044,Noura Al-Hassan,Saudi Aramco,2222.SR,People/HR,Staff,76.4,166500,8.7,70.7,Middle East,Lower-middle,Yes,67.7,71.9
2222-0045,Tariq Al-Saud,Saudi Aramco,2222.SR,Operations,Principal,90.5,323100,7.1,66.2,Middle East,Upper-middle,No,39.8,63.8
2222-0046,Amal Bin Laden,Saudi Aramco,2222.SR,Finance,Senior,79.6,238800,6.3,65.8,Middle East,Upper-middle,Yes,46.9,71.5
2222-0047,Maryam Al-Harbi,Saudi Aramco,2222.SR,Supply Chain,Principal,85.5,211600,12.4,56.8,Middle East,Upper-middle,No,36.1,46.8
2222-0048,Omar Al-Saud,Saudi Aramco,2222.SR,Operations,Staff,84.9,269100,5.3,63.7,Middle East,Lower-middle,Yes,78.8,87.4
2222-0049,Reem Al-Qahtani,Saudi Aramco,2222.SR,Refining & Chemicals,Director,66.9,761500,19.0,82.9,Africa,Working class,Yes,100.0,73.0
2222-0050,Yousef Al-Shehri,Saudi Aramco,2222.SR,Upstream/Engineering,Director,81.0,510900,21.0,62.8,Middle East,Upper-middle,No,39.9,64.1
2222-0051,Hessa Al-Faraj,Saudi Aramco,2222.SR,Upstream/Engineering,Senior,94.6,212400,16.8,58.5,Europe,Middle,No,45.3,49.6
2222-0052,Yousef Al-Shehri,Saudi Aramco,2222.SR,HSE/Safety,Senior,69.7,120000,3.7,60.1,South Asia,Middle,No,64.9,77.5
2222-0053,Lina Al-Faraj,Saudi Aramco,2222.SR,Upstream/Engineering,Principal,73.3,251700,9.8,55.9,Middle East,Lower-middle,No,72.6,73.4
2222-0054,Hessa Al-Harbi,Saudi Aramco,2222.SR,Operations,Senior,87.9,239900,7.1,67.2,Middle East,Middle,No,47.6,56.4
2222-0055,Lina Al-Dossari,Saudi Aramco,2222.SR,Upstream/Engineering,Senior,75.4,153000,7.3,55.8,Middle East,Lower-middle,Yes,87.7,66.0
2222-0056,Jana Al-Amri,Saudi Aramco,2222.SR,Refining & Chemicals,VP,77.1,687700,7.5,67.4,Middle East,Lower-middle,Yes,70.1,65.9
2222-0057,Saud Al-Rashid,Saudi Aramco,2222.SR,Operations,Senior,68.3,32600,4.0,59.4,Middle East,Middle,No,62.5,80.9
2222-0058,Saud Al-Mutairi,Saudi Aramco,2222.SR,Refining & Chemicals,Principal,87.1,539800,12.4,62.6,Middle East,Working class,Yes,99.4,77.3
2222-0059,Aisha Al-Qahtani,Saudi Aramco,2222.SR,Upstream/Engineering,Senior,78.5,138000,20.0,53.6,South Asia,Lower-middle,No,75.3,74.2
2222-0060,Jana Al-Amri,Saudi Aramco,2222.SR,Operations,Staff,78.2,152100,9.4,65.5,Middle East,Working class,No,75.2,69.3
2222-0061,Noura Al-Subaie,Saudi Aramco,2222.SR,Refining & Chemicals,Senior,81.2,201600,20.3,68.9,Middle East,Middle,No,62.5,75.4
2222-0062,Yousef Al-Otaibi,Saudi Aramco,2222.SR,Upstream/Engineering,Principal,84.1,116700,6.3,67.1,Middle East,Middle,No,51.7,90.7
2222-0063,Rana Al-Saud,Saudi Aramco,2222.SR,Upstream/Engineering,Staff,73.6,343200,10.6,51.4,Middle East,Middle,No,56.2,44.6
2222-0064,Khalid Al-Anazi,Saudi Aramco,2222.SR,Upstream/Engineering,VP,77.3,405300,20.9,74.0,Southeast Asia,Middle,Yes,64.9,81.3
2222-0065,Amal Al-Saud,Saudi Aramco,2222.SR,Upstream/Engineering,Staff,71.0,136900,21.8,65.2,Middle East,Working class,No,84.8,74.0
2222-0066,Layla Al-Saud,Saudi Aramco,2222.SR,Upstream/Engineering,Staff,79.9,99800,7.0,65.4,Middle East,Lower-middle,No,49.5,76.7
2222-0067,Faisal Al-Nasser,Saudi Aramco,2222.SR,Finance,Staff,82.8,166700,26.8,74.3,Middle East,Middle,No,57.2,76.4
2222-0068,Maryam Al-Subaie,Saudi Aramco,2222.SR,Refining & Chemicals,Senior,81.2,84100,20.9,54.2,Africa,Upper-middle,No,31.5,69.3
2222-0069,Dana Al-Faraj,Saudi Aramco,2222.SR,Operations,Principal,90.7,114300,10.3,69.1,Africa,Upper-middle,No,45.3,73.2
2222-0070,Sara Bin Laden,Saudi Aramco,2222.SR,Operations,VP,76.0,164000,21.3,64.7,Southeast Asia,Affluent,No,18.8,78.3
2222-0071,Ziad Al-Maliki,Saudi Aramco,2222.SR,Operations,Senior,74.9,75900,14.3,61.7,South Asia,Lower-middle,Yes,64.4,65.3
2222-0072,Rana Al-Anazi,Saudi Aramco,2222.SR,Finance,Senior,86.7,107500,9.2,62.9,Middle East,Working class,Yes,90.3,75.4
2222-0073,Layla Al-Maliki,Saudi Aramco,2222.SR,Operations,Staff,85.8,173900,19.3,78.6,Middle East,Lower-middle,No,58.5,77.9
2222-0074,Hessa Al-Saud,Saudi Aramco,2222.SR,HSE/Safety,SVP,77.8,272200,9.3,73.4,Middle East,Middle,No,44.7,72.3
2222-0075,Reem Al-Nasser,Saudi Aramco,2222.SR,Refining & Chemicals,Senior,78.1,154200,16.4,61.6,Middle East,Middle,No,45.9,74.6
2222-0076,Sara Al-Mutairi,Saudi Aramco,2222.SR,Finance,Senior,77.3,92700,14.1,52.7,Middle East,Middle,No,39.8,81.4
2222-0077,Mohammed Al-Amri,Saudi Aramco,2222.SR,Upstream/Engineering,Senior,88.8,81100,19.9,68.0,Middle East,Middle,No,53.4,70.1
2222-0078,Huda Bin Laden,Saudi Aramco,2222.SR,Research & Tech,Senior,73.4,112600,7.9,64.9,Middle East,Working class,Yes,83.2,77.3
2222-0079,Aisha Al-Nasser,Saudi Aramco,2222.SR,Operations,Staff,74.7,298300,17.1,54.7,Middle East,Working class,No,80.3,61.8
2222-0080,Khalid Al-Nasser,Saudi Aramco,2222.SR,Upstream/Engineering,Staff,67.5,255900,5.3,67.3,Middle East,Lower-middle,Yes,79.0,64.1
2222-0081,Salem Al-Maliki,Saudi Aramco,2222.SR,Supply Chain,Staff,74.6,156800,15.6,63.5,Middle East,Affluent,No,34.5,52.2
2222-0082,Lina Al-Subaie,Saudi Aramco,2222.SR,Refining & Chemicals,SVP,87.0,771700,20.0,69.8,Middle East,Middle,No,64.8,63.2
2222-0083,Omar Al-Otaibi,Saudi Aramco,2222.SR,Operations,Senior,80.7,241800,10.8,74.7,Middle East,Middle,No,52.8,70.7
2222-0084,Bandar Al-Rashid,Saudi Aramco,2222.SR,Operations,Principal,73.3,97200,7.4,71.6,Middle East,Working class,Yes,91.9,91.5
2222-0085,Salem Al-Ghamdi,Saudi Aramco,2222.SR,Sales & Trading,Director,85.7,764900,10.1,62.7,Middle East,Middle,No,42.1,67.5
2222-0086,Yousef Al-Anazi,Saudi Aramco,2222.SR,Upstream/Engineering,Staff,74.6,95800,22.5,48.2,Middle East,Middle,No,44.5,78.3
2222-0087,Tariq Al-Faraj,Saudi Aramco,2222.SR,Upstream/Engineering,SVP,74.8,645600,16.8,50.5,South Asia,Middle,Yes,48.8,63.5
2222-0088,Mohammed Al-Rashid,Saudi Aramco,2222.SR,Upstream/Engineering,Senior,75.4,85300,13.2,51.1,Middle East,Working class,Yes,97.2,74.7
2222-0089,Lina Al-Mutairi,Saudi Aramco,2222.SR,HSE/Safety,Senior,68.5,143500,22.8,64.7,Middle East,Upper-middle,Yes,44.1,77.7
2222-0090,Salem Al-Sulaiman,Saudi Aramco,2222.SR,HSE/Safety,Senior,72.1,59400,10.5,58.0,Middle East,Upper-middle,No,33.1,73.4
2222-0091,Huda Al-Qahtani,Saudi Aramco,2222.SR,Upstream/Engineering,Staff,77.9,152200,4.5,73.0,Middle East,Upper-middle,No,43.5,77.2
2222-0092,Noura Al-Ghamdi,Saudi Aramco,2222.SR,Supply Chain,Staff,79.5,305000,10.9,55.0,Middle East,Lower-middle,No,56.0,69.8
2222-0093,Tariq Al-Hassan,Saudi Aramco,2222.SR,Upstream/Engineering,Director,74.2,557500,6.0,81.7,Africa,Lower-middle,No,65.2,87.5
2222-0094,Abdullah Al-Harbi,Saudi Aramco,2222.SR,Upstream/Engineering,Director,81.9,597200,16.0,57.1,Middle East,Middle,Yes,60.4,73.7
2222-0095,Rana Al-Ghamdi,Saudi Aramco,2222.SR,Finance,Senior Director,77.3,475600,22.4,60.9,Middle East,Lower-middle,Yes,62.4,70.2
2222-0096,Rana Al-Harbi,Saudi Aramco,2222.SR,Supply Chain,Senior,74.7,96200,18.4,59.9,Middle East,Lower-middle,No,67.8,87.3
2222-0097,Yousef Al-Otaibi,Saudi Aramco,2222.SR,Upstream/Engineering,Principal,74.5,117100,14.1,71.1,Middle East,Lower-middle,Yes,71.5,77.6
2222-0098,Tariq Al-Nasser,Saudi Aramco,2222.SR,Research & Tech,VP,85.4,596300,25.2,66.0,Middle East,Middle,Yes,59.2,78.7
2222-0099,Yousef Al-Subaie,Saudi Aramco,2222.SR,Operations,Principal,90.7,334300,21.5,65.2,Middle East,Middle,Yes,52.2,65.8
2222-0100,Bandar Al-Qahtani,Saudi Aramco,2222.SR,Upstream/Engineering,Director,82.7,138600,9.1,71.2,Middle East,Middle,No,52.2,42.3
2222-0101,Saud Al-Maliki,Saudi Aramco,2222.SR,Research & Tech,Staff,89.4,314600,5.0,68.3,South Asia,Affluent,No,24.6,57.6
2222-0102,Amal Al-Juhani,Saudi Aramco,2222.SR,Finance,Principal,76.5,90400,17.3,67.1,Middle East,Lower-middle,No,66.9,67.5
2222-0103,Salem Al-Nasser,Saudi Aramco,2222.SR,Operations,Director,79.7,312700,15.7,58.8,Middle East,Lower-middle,Yes,74.2,78.5
2222-0104,Sara Al-Ghamdi,Saudi Aramco,2222.SR,Upstream/Engineering,Principal,92.2,231400,11.0,61.9,Africa,Middle,Yes,63.2,61.0
2222-0105,Maryam Al-Ghamdi,Saudi Aramco,2222.SR,Upstream/Engineering,Principal,76.5,155000,33.0,66.0,Middle East,Upper-middle,No,40.3,76.3
2222-0106,Salem Al-Mutairi,Saudi Aramco,2222.SR,Operations,Staff,75.4,172000,10.0,67.5,Middle East,Middle,No,48.6,66.2
2222-0107,Saud Al-Dossari,Saudi Aramco,2222.SR,Sales & Trading,Staff,83.2,143200,18.8,59.2,Middle East,Middle,No,51.3,64.5
2222-0108,Yousef Al-Harbi,Saudi Aramco,2222.SR,Operations,Staff,66.7,74400,11.9,75.6,Southeast Asia,Middle,Yes,50.6,71.4
2222-0109,Maryam Al-Anazi,Saudi Aramco,2222.SR,HSE/Safety,Senior Director,80.4,216100,16.6,64.4,Africa,Upper-middle,No,33.0,76.3
2222-0110,Amal Al-Qahtani,Saudi Aramco,2222.SR,Research & Tech,Staff,95.5,212500,10.4,54.2,Middle East,Lower-middle,No,65.0,65.1
2222-0111,Hamad Al-Sulaiman,Saudi Aramco,2222.SR,Upstream/Engineering,Principal,78.7,357200,16.8,54.6,South Asia,Lower-middle,Yes,63.0,48.8
2222-0112,Rana Al-Maliki,Saudi Aramco,2222.SR,Upstream/Engineering,Senior,74.6,86200,11.5,61.0,South Asia,Lower-middle,No,62.0,70.8
2222-0113,Majed Al-Anazi,Saudi Aramco,2222.SR,Operations,Staff,82.3,181200,13.6,63.0,Middle East,Middle,No,44.3,75.5
2222-0114,Reem Al-Maliki,Saudi Aramco,2222.SR,Finance,Senior,82.4,78200,15.7,51.5,Middle East,Lower-middle,No,68.5,67.5
2222-0115,Rana Al-Faraj,Saudi Aramco,2222.SR,Upstream/Engineering,Principal,96.3,368900,14.9,64.6,Middle East,Affluent,No,21.0,63.2
2222-0116,Yousef Al-Harbi,Saudi Aramco,2222.SR,Operations,C-Suite,82.4,1914400,20.0,84.4,Middle East,Lower-middle,No,66.4,75.5
2222-0117,Lina Al-Hassan,Saudi Aramco,2222.SR,Sales & Trading,Senior,64.7,152400,13.1,56.5,Middle East,Middle,No,52.0,60.5
2222-0118,Huda Al-Qahtani,Saudi Aramco,2222.SR,Research & Tech,Senior,84.5,110700,15.2,68.7,Middle East,Lower-middle,Yes,74.4,74.6
2222-0119,Omar Bin Laden,Saudi Aramco,2222.SR,Operations,Staff,69.6,124200,15.2,62.2,Middle East,Working class,Yes,84.5,77.0
2222-0120,Ziad Bin Laden,Saudi Aramco,2222.SR,Upstream/Engineering,Principal,76.0,296000,11.9,75.3,Middle East,Middle,Yes,76.4,75.6
2222-0121,Bandar Al-Juhani,Saudi Aramco,2222.SR,Operations,Staff,70.3,140000,14.3,58.7,South Asia,Upper-middle,No,26.3,70.6
2222-0122,Yousef Al-Otaibi,Saudi Aramco,2222.SR,Upstream/Engineering,Principal,87.0,166600,16.3,69.2,Middle East,Affluent,No,18.4,55.0
2222-0123,Fatima Al-Anazi,Saudi Aramco,2222.SR,Sales & Trading,Staff,89.2,207000,11.0,57.3,Middle East,Upper-middle,No,31.1,56.3
2222-0124,Noura Al-Nasser,Saudi Aramco,2222.SR,HSE/Safety,Senior,77.9,177400,14.9,63.5,Southeast Asia,Upper-middle,No,27.1,66.8
2222-0125,Noura Al-Zahrani,Saudi Aramco,2222.SR,Upstream/Engineering,Senior,77.2,102800,6.3,71.4,Middle East,Upper-middle,No,38.2,70.2
2222-0126,Hessa Al-Zahrani,Saudi Aramco,2222.SR,Supply Chain,Staff,72.0,120800,13.5,67.9,Middle East,Lower-middle,Yes,82.5,73.0
2222-0127,Amal Al-Juhani,Saudi Aramco,2222.SR,Upstream/Engineering,Senior Director,75.8,148500,13.4,69.7,Middle East,Middle,No,47.1,77.8
2222-0128,Hessa Bin Laden,Saudi Aramco,2222.SR,Finance,Staff,79.4,292000,4.8,68.4,Middle East,Working class,Yes,82.8,62.8
2222-0129,Layla Al-Subaie,Saudi Aramco,2222.SR,Operations,Staff,76.9,197900,3.2,65.0,Middle East,Middle,Yes,66.2,72.2
2222-0130,Tariq Al-Nasser,Saudi Aramco,2222.SR,Research & Tech,Director,77.5,288500,13.9,81.4,South Asia,Middle,No,65.2,82.3
2222-0131,Huda Al-Hassan,Saudi Aramco,2222.SR,Upstream/Engineering,Staff,79.0,225200,9.5,76.7,Middle East,Lower-middle,Yes,71.0,49.6
2222-0132,Yousef Al-Amri,Saudi Aramco,2222.SR,Refining & Chemicals,Staff,98.2,216900,8.0,68.2,Middle East,Lower-middle,Yes,67.9,75.7
2222-0133,Mohammed Al-Harbi,Saudi Aramco,2222.SR,Upstream/Engineering,VP,84.9,359400,14.6,70.6,Middle East,Working class,Yes,89.6,84.7
2222-0134,Ziad Al-Zahrani,Saudi Aramco,2222.SR,Upstream/Engineering,Principal,82.7,221400,7.3,67.8,Middle East,Middle,Yes,61.4,75.8
2222-0135,Lina Al-Mutairi,Saudi Aramco,2222.SR,Supply Chain,Principal,77.2,239900,11.2,70.5,Middle East,Working class,Yes,95.4,86.0
2222-0136,Mohammed Bin Laden,Saudi Aramco,2222.SR,Finance,Senior,80.5,443300,15.1,61.0,South Asia,Upper-middle,No,35.0,71.6
2222-0137,Tariq Al-Rashid,Saudi Aramco,2222.SR,Upstream/Engineering,Staff,79.4,118800,19.0,70.4,Middle East,Working class,No,77.0,57.8
2222-0138,Bandar Al-Ghamdi,Saudi Aramco,2222.SR,Refining & Chemicals,Principal,88.1,209700,4.1,79.9,Middle East,Affluent,No,18.9,75.0
2222-0139,Majed Al-Mutairi,Saudi Aramco,2222.SR,Legal & Policy,Staff,92.7,232200,9.5,64.7,Middle East,Upper-middle,No,35.8,58.2
2222-0140,Salem Al-Mutairi,Saudi Aramco,2222.SR,Upstream/Engineering,Senior,75.5,102900,16.1,51.0,Middle East,Working class,Yes,85.5,85.2
2222-0141,Hessa Al-Otaibi,Saudi Aramco,2222.SR,Sales & Trading,Staff,71.0,220900,26.5,65.4,Middle East,Lower-middle,Yes,83.7,63.0
2222-0142,Yousef Al-Maliki,Saudi Aramco,2222.SR,Refining & Chemicals,Director,90.7,472400,10.4,77.7,Middle East,Working class,Yes,100.0,73.5
2222-0143,Sara Al-Amri,Saudi Aramco,2222.SR,People/HR,Senior,74.1,93200,13.2,70.1,Southeast Asia,Affluent,No,22.7,80.6
2222-0144,Khalid Al-Maliki,Saudi Aramco,2222.SR,Upstream/Engineering,Staff,70.0,92200,17.6,66.0,South Asia,Lower-middle,Yes,80.9,70.9
2222-0145,Faisal Al-Rashid,Saudi Aramco,2222.SR,Upstream/Engineering,Principal,84.6,203000,9.5,67.0,Middle East,Lower-middle,No,54.8,70.8
2222-0146,Hamad Al-Subaie,Saudi Aramco,2222.SR,Operations,SVP,78.3,2774300,15.2,73.1,Middle East,Working class,Yes,98.5,79.4
2222-0147,Hamad Al-Anazi,Saudi Aramco,2222.SR,Refining & Chemicals,Senior,87.7,281000,12.3,61.3,Middle East,Upper-middle,No,30.6,68.0
2222-0148,Hamad Al-Nasser,Saudi Aramco,2222.SR,Operations,Senior,83.3,116200,7.0,60.1,Middle East,Middle,No,53.3,72.9
2222-0149,Dana Bin Laden,Saudi Aramco,2222.SR,Supply Chain,SVP,73.2,957900,11.8,76.0,Middle East,Middle,Yes,55.9,80.1
2222-0150,Layla Al-Nasser,Saudi Aramco,2222.SR,Upstream/Engineering,Senior,73.6,111100,16.8,61.8,Middle East,Middle,Yes,62.3,76.8
2222-0151,Reem Al-Juhani,Saudi Aramco,2222.SR,Refining & Chemicals,Director,79.4,222800,17.8,75.7,Middle East,Working class,Yes,90.3,75.7
2222-0152,Tariq Bin Laden,Saudi Aramco,2222.SR,Operations,Principal,83.4,273200,6.6,68.1,Middle East,Middle,No,57.5,89.6
2222-0153,Omar Al-Ghamdi,Saudi Aramco,2222.SR,Operations,Director,76.1,181600,10.1,77.0,Middle East,Upper-middle,No,33.7,77.4
2222-0154,Nasser Al-Nasser,Saudi Aramco,2222.SR,Upstream/Engineering,Senior,75.7,100000,6.6,71.7,Middle East,Working class,No,90.9,73.3
2222-0155,Aisha Al-Otaibi,Saudi Aramco,2222.SR,Upstream/Engineering,Senior,91.9,105000,5.2,70.4,Middle East,Middle,Yes,54.7,66.5
2222-0156,Sara Al-Sulaiman,Saudi Aramco,2222.SR,Upstream/Engineering,Staff,100.0,327300,7.4,63.5,Middle East,Middle,No,61.1,55.1
2222-0157,Sara Al-Qahtani,Saudi Aramco,2222.SR,Operations,VP,79.8,1213800,14.2,69.3,Middle East,Affluent,No,41.5,65.8
2222-0158,Noura Al-Sulaiman,Saudi Aramco,2222.SR,HSE/Safety,Senior,79.8,89100,19.3,55.5,Middle East,Lower-middle,Yes,84.4,74.0
2222-0159,Mohammed Al-Rashid,Saudi Aramco,2222.SR,Refining & Chemicals,Senior Director,85.0,215200,17.9,65.9,Southeast Asia,Upper-middle,No,36.7,78.8
2222-0160,Huda Al-Hassan,Saudi Aramco,2222.SR,HSE/Safety,Staff,70.8,158500,7.6,70.6,Middle East,Affluent,No,31.5,74.7
2222-0161,Fatima Al-Qahtani,Saudi Aramco,2222.SR,Upstream/Engineering,Senior,75.6,147400,11.2,67.9,Middle East,Middle,No,55.1,89.9
2222-0162,Layla Al-Hassan,Saudi Aramco,2222.SR,Refining & Chemicals,Principal,76.8,298000,13.2,66.8,Middle East,Middle,No,54.4,66.7
2222-0163,Nasser Al-Dossari,Saudi Aramco,2222.SR,Operations,Senior,66.5,66900,12.9,61.4,Middle East,Upper-middle,No,41.1,66.3
2222-0164,Aisha Al-Rashid,Saudi Aramco,2222.SR,Operations,Senior,70.9,42500,6.7,64.9,Middle East,Middle,Yes,59.5,65.6
2222-0165,Noura Al-Rashid,Saudi Aramco,2222.SR,Upstream/Engineering,Director,89.8,245800,10.5,71.2,Middle East,Working class,Yes,91.0,75.8
2222-0166,Khalid Al-Qahtani,Saudi Aramco,2222.SR,Upstream/Engineering,Senior Director,85.5,188900,9.3,79.1,Middle East,Upper-middle,No,29.8,81.3
2222-0167,Khalid Al-Mutairi,Saudi Aramco,2222.SR,Operations,Senior,80.9,115500,13.3,48.9,Middle East,Middle,Yes,51.7,55.7
2222-0168,Omar Al-Rashid,Saudi Aramco,2222.SR,Upstream/Engineering,Senior,85.2,67100,13.4,65.2,Middle East,Upper-middle,No,38.9,73.3
2222-0169,Sara Al-Dossari,Saudi Aramco,2222.SR,Research & Tech,Staff,89.4,157000,15.6,65.1,Middle East,Working class,Yes,68.2,75.6
2222-0170,Ziad Bin Laden,Saudi Aramco,2222.SR,Refining & Chemicals,Director,79.4,442200,17.7,82.8,Middle East,Working class,Yes,93.4,92.3
2222-0171,Huda Al-Anazi,Saudi Aramco,2222.SR,Refining & Chemicals,Principal,78.9,161300,9.5,70.8,South Asia,Lower-middle,Yes,69.8,68.0
