employee_id,name,company,ticker,department,level,performance_score,total_compensation_usd,tenure_years
NVDA-0077,Wei Singh,NVIDIA,NVDA,Sales & GTM,Principal,87.9,497000,4.9
NVDA-0078,Zoe Lee,NVIDIA,NVDA,Operations,Senior,81.7,436700,3.0
NVDA-0079,Carlos Tanaka,NVIDIA,NVDA,Engineering,Staff,73.8,207600,5.2
NVDA-0080,John Okafor,NVIDIA,NVDA,Sales & GTM,Staff,74.2,427900,18.6
NVDA-0081,Yuki Chen,NVIDIA,NVDA,Engineering,Staff,78.4,1760000,6.9
NVDA-0082,Kevin Kim,NVIDIA,NVDA,People/HR,Principal,77.5,428900,8.5
NVDA-0083,Sofia Yamamoto,NVIDIA,NVDA,Product,SVP,86.2,1238100,8.4
NVDA-0084,Ahmed Park,NVIDIA,NVDA,Research & AI,VP,72.7,886500,14.6
NVDA-0085,Grace Chen,NVIDIA,NVDA,Product,Principal,90.6,630500,2.6
NVDA-0086,Olivia Silva,NVIDIA,NVDA,Engineering,Senior Director,91.5,1025200,6.1
NVDA-0087,Priya Rossi,NVIDIA,NVDA,Design,Senior,85.5,465500,3.5
NVDA-0088,Aisha Wilson,NVIDIA,NVDA,Operations,Senior,75.3,339000,23.1
NVDA-0089,James Lopez,NVIDIA,NVDA,Engineering,VP,98.0,1550800,10.8
NVDA-0090,Raj Reyes,NVIDIA,NVDA,Marketing,Senior Director,77.9,779500,8.1
NVDA-0091,Chen Cohen,NVIDIA,NVDA,Research & AI,Principal,86.6,735100,4.2
NVDA-0092,Michael Anderson,NVIDIA,NVDA,Design,Senior Director,74.8,791200,8.8
NVDA-0093,Aisha Wang,NVIDIA,NVDA,Engineering,Staff,80.5,272700,3.5
NVDA-0094,Elena Nguyen,NVIDIA,NVDA,Engineering,Senior,66.6,309900,0.7
NVDA-0095,Maria Yamamoto,NVIDIA,NVDA,Sales & GTM,Principal,59.8,698600,14.0
NVDA-0096,Elena Brown,NVIDIA,NVDA,Product,Staff,79.5,613900,7.6
NVDA-0097,Daniel Schmidt,NVIDIA,NVDA,Engineering,Senior,75.7,531300,9.4
NVDA-0098,John Reyes,NVIDIA,NVDA,Design,Staff,98.5,858700,7.7
NVDA-0099,Hiroshi Lee,NVIDIA,NVDA,People/HR,Staff,87.5,190000,2.4
NVDA-0100,John Schmidt,NVIDIA,NVDA,Legal & Policy,Principal,90.4,696200,4.5
NVDA-0101,Thomas Tanaka,NVIDIA,NVDA,Design,Principal,87.2,568300,5.6
NVDA-0102,Elena Hassan,NVIDIA,NVDA,Marketing,Senior,78.8,391300,7.1
NVDA-0103,Emily Lopez,NVIDIA,NVDA,Product,Principal,74.6,1144600,9.2
NVDA-0104,Daniel Tanaka,NVIDIA,NVDA,Engineering,Senior,73.2,116700,1.5
NVDA-0105,Arjun Davis,NVIDIA,NVDA,Engineering,Director,88.1,606300,4.9
NVDA-0106,David Murphy,NVIDIA,NVDA,Product,Principal,86.2,329000,8.0
NVDA-0107,Sofia Garcia,NVIDIA,NVDA,Engineering,Principal,80.9,908800,10.7
NVDA-0108,Fatima Singh,NVIDIA,NVDA,Design,Staff,74.6,457500,3.0
NVDA-0109,Mary Park,NVIDIA,NVDA,Research & AI,Senior Director,84.1,572800,12.2
NVDA-0110,Samuel Wang,NVIDIA,NVDA,Operations,Senior,89.2,430900,1.7
NVDA-0111,Priya Petrov,NVIDIA,NVDA,Product,Principal,91.0,481600,5.4
NVDA-0112,Arjun Brown,NVIDIA,NVDA,Engineering,Principal,83.5,345100,3.7
NVDA-0113,Priya Chen,NVIDIA,NVDA,Research & AI,Staff,87.5,672900,4.1
NVDA-0114,Elena Garcia,NVIDIA,NVDA,Engineering,Staff,94.1,730100,5.8
NVDA-0115,Sofia Yamamoto,NVIDIA,NVDA,Research & AI,Director,87.1,688900,13.6
NVDA-0116,Mary Silva,NVIDIA,NVDA,Legal & Policy,Senior,82.7,197100,5.4
NVDA-0117,Mary Silva,NVIDIA,NVDA,People/HR,Director,63.1,767300,12.9
NVDA-0118,Emily Petrov,NVIDIA,NVDA,Sales & GTM,Staff,82.6,485400,13.2
NVDA-0119,James Anderson,NVIDIA,NVDA,People/HR,Director,83.0,188600,15.1
NVDA-0120,Thomas Brown,NVIDIA,NVDA,Engineering,Staff,75.7,537300,7.1
NVDA-0121,David Schmidt,NVIDIA,NVDA,Engineering,Senior,72.8,337700,9.5
NVDA-0122,Wei Wang,NVIDIA,NVDA,Engineering,Senior,70.9,194900,4.9
NVDA-0123,Linda Wilson,NVIDIA,NVDA,Design,Staff,85.2,350000,8.2
NVDA-0124,Aisha Davis,NVIDIA,NVDA,Engineering,Principal,93.4,600900,11.3
NVDA-0125,Yuki Davis,NVIDIA,NVDA,Operations,Senior Director,91.3,843700,22.9
NVDA-0126,Daniel Wilson,NVIDIA,NVDA,Research & AI,Senior,100.0,237400,2.1
NVDA-0127,Grace Kim,NVIDIA,NVDA,Engineering,Staff,75.6,369700,6.3
NVDA-0128,Daniel Chen,NVIDIA,NVDA,Engineering,Senior,81.3,631600,11.4
NVDA-0129,Thomas Johnson,NVIDIA,NVDA,Engineering,Senior,81.6,286500,10.2
NVDA-0130,Mary Cohen,NVIDIA,NVDA,Engineering,Senior Director,78.4,700500,9.0
NVDA-0131,Ahmed Nguyen,NVIDIA,NVDA,Engineering,Principal,88.7,251800,7.0
NVDA-0132,Carlos Lee,NVIDIA,NVDA,Product,Senior,85.3,610600,4.5
NVDA-0133,Emily Anderson,NVIDIA,NVDA,Product,Principal,88.8,1354300,10.9
NVDA-0134,Zoe Reyes,NVIDIA,NVDA,Sales & GTM,Principal,74.9,212000,4.0
NVDA-0135,Olivia Kim,NVIDIA,NVDA,Sales & GTM,Senior,77.0,199300,4.0
NVDA-0136,Sofia Nguyen,NVIDIA,NVDA,Sales & GTM,VP,92.0,3508500,10.8
NVDA-0137,Fatima Murphy,NVIDIA,NVDA,Engineering,Senior,76.8,162100,6.9
NVDA-0138,Linda Cohen,NVIDIA,NVDA,Engineering,Staff,78.7,210000,6.7
NVDA-0139,Ahmed Schmidt,NVIDIA,NVDA,Engineering,Senior,89.5,168100,7.0
NVDA-0140,Chen Smith,NVIDIA,NVDA,Legal & Policy,Principal,82.3,755000,6.9
NVDA-0141,Carlos Singh,NVIDIA,NVDA,Research & AI,Staff,87.8,540500,4.7
NVDA-0142,Linda Wilson,NVIDIA,NVDA,Design,Principal,98.1,1031200,6.2
NVDA-0143,Thomas Lee,NVIDIA,NVDA,Engineering,Staff,68.3,234500,4.9
NVDA-0144,Carlos Petrov,NVIDIA,NVDA,Engineering,Principal,73.6,164700,3.5
NVDA-0145,Emily Smith,NVIDIA,NVDA,Research & AI,Principal,88.8,740300,9.2
NVDA-0146,Linda Wang,NVIDIA,NVDA,Engineering,Director,93.1,909700,10.2
NVDA-0147,Zoe Nguyen,NVIDIA,NVDA,Engineering,Staff,89.7,571000,2.3
NVDA-0148,Hannah Park,NVIDIA,NVDA,Sales & GTM,Staff,74.6,252900,6.9
NVDA-0149,Arjun Okafor,NVIDIA,NVDA,Research & AI,Senior,90.9,230100,3.3
NVDA-0150,Hannah Johnson,NVIDIA,NVDA,Research & AI,Staff,93.8,461400,3.3
NVDA-0151,Olivia Lee,NVIDIA,NVDA,Research & AI,VP,77.2,906900,9.2
NVDA-0152,Fatima Lopez,NVIDIA,NVDA,Engineering,Senior,75.6,454700,12.8
NVDA-0153,Samuel Park,NVIDIA,NVDA,Finance,Director,78.2,769700,12.6
NVDA-0154,Maria Patel,NVIDIA,NVDA,Engineering,Senior,84.4,137200,3.3
NVDA-0155,Kevin Garcia,NVIDIA,NVDA,Engineering,Senior,85.2,535900,4.0
NVDA-0156,John Nguyen,NVIDIA,NVDA,Marketing,Senior,84.0,299600,1.7
NVDA-0157,Olivia Singh,NVIDIA,NVDA,People/HR,Principal,66.3,591500,2.9
NVDA-0158,Arjun Anderson,NVIDIA,NVDA,Sales & GTM,Senior,83.8,388900,1.1
NVDA-0159,Sofia Reyes,NVIDIA,NVDA,Product,Principal,71.8,246800,7.9
NVDA-0160,Hannah Hassan,NVIDIA,NVDA,People/HR,Director,62.9,159600,10.1
NVDA-0161,Priya Yamamoto,NVIDIA,NVDA,Research & AI,Staff,86.4,265900,2.0
NVDA-0162,Hannah Rossi,NVIDIA,NVDA,People/HR,Director,73.5,398400,5.3
NVDA-0163,Mary Nguyen,NVIDIA,NVDA,Legal & Policy,Principal,93.7,649600,3.9
NVDA-0164,Zoe Ali,NVIDIA,NVDA,Engineering,Senior Director,86.8,1620400,6.2
NVDA-0165,Sofia Lee,NVIDIA,NVDA,Design,Staff,94.3,744500,2.1
NVDA-0166,Wei Brown,NVIDIA,NVDA,Design,Staff,74.0,999600,10.2
NVDA-0167,Wei Kim,NVIDIA,NVDA,Operations,Senior,82.9,186900,6.3
NVDA-0168,James Smith,NVIDIA,NVDA,Engineering,VP,85.3,968700,8.9
NVDA-0169,Wei Anderson,NVIDIA,NVDA,Design,Staff,75.9,274300,6.7
NVDA-0170,Yuki Cohen,NVIDIA,NVDA,Finance,Principal,81.2,450100,4.5
NVDA-0171,Fatima Hassan,NVIDIA,NVDA,Engineering,Principal,71.8,347600,16.8
NVDA-0172,Olivia Garcia,NVIDIA,NVDA,Engineering,Senior,74.9,337300,14.4
NVDA-0173,Sofia Patel,NVIDIA,NVDA,Finance,Staff,71.2,145500,12.4
NVDA-0174,Aisha Khan,NVIDIA,NVDA,Product,Senior,97.1,1220000,6.3
NVDA-0175,Yuki Nguyen,NVIDIA,NVDA,Legal & Policy,Staff,83.2,670600,3.4
NVDA-0176,Michael Park,NVIDIA,NVDA,Operations,Senior,80.8,213100,4.7
NVDA-0177,Sofia Nguyen,NVIDIA,NVDA,Engineering,Staff,78.9,690200,3.6
NVDA-0178,Wei Garcia,NVIDIA,NVDA,Research & AI,Senior,71.6,394600,4.0
NVDA-0179,Wei Hassan,NVIDIA,NVDA,Engineering,Director,78.6,596900,6.8
NVDA-0180,Emily Silva,NVIDIA,NVDA,Operations,VP,81.5,1110500,12.0
NVDA-0181,Daniel Singh,NVIDIA,NVDA,Engineering,Senior,82.7,1039900,8.6
NVDA-0182,Maria Park,NVIDIA,NVDA,Sales & GTM,Senior,85.6,187100,2.0
NVDA-0183,Emily Johnson,NVIDIA,NVDA,Product,Staff,62.0,371100,8.4
NVDA-0184,Maria Petrov,NVIDIA,NVDA,Engineering,Senior Director,99.8,1426100,6.5
NVDA-0185,Linda Smith,NVIDIA,NVDA,Marketing,Staff,78.1,327300,3.9
NVDA-0186,Aisha Park,NVIDIA,NVDA,Research & AI,Senior,73.0,362000,3.8
NVDA-0187,Yuki Singh,NVIDIA,NVDA,Research & AI,Staff,79.6,398600,2.0
NVDA-0188,Samuel Cohen,NVIDIA,NVDA,Operations,Staff,75.6,390600,9.9
NVDA-0189,Emily Martinez,NVIDIA,NVDA,Sales & GTM,Senior Director,89.5,371400,6.6
NVDA-0190,Yuki Lopez,NVIDIA,NVDA,Research & AI,Principal,90.9,277600,7.5
NVDA-0191,Kevin Yamamoto,NVIDIA,NVDA,Product,Principal,75.6,662300,4.6
NVDA-0192,Samuel Petrov,NVIDIA,NVDA,Research & AI,Senior,82.6,121000,11.2
NVDA-0193,Zoe Schmidt,NVIDIA,NVDA,Marketing,Director,74.0,829900,13.0
NVDA-0194,Linda Kim,NVIDIA,NVDA,Research & AI,Staff,71.4,668800,3.8
NVDA-0195,Raj Patel,NVIDIA,NVDA,Engineering,Staff,69.3,364200,10.7
NVDA-0196,Sofia Schmidt,NVIDIA,NVDA,Finance,Staff,99.5,178200,15.2
NVDA-0197,Michael Silva,NVIDIA,NVDA,Engineering,Senior,80.0,273800,3.6
NVDA-0198,Yuki Anderson,NVIDIA,NVDA,Engineering,Principal,73.6,856700,4.9
NVDA-0199,Priya Schmidt,NVIDIA,NVDA,Operations,Staff,78.9,1338800,4.3
NVDA-0200,Yuki Rossi,NVIDIA,NVDA,Engineering,VP,77.8,472200,18.6
NVDA-0201,Olivia Garcia,NVIDIA,NVDA,Sales & GTM,VP,92.0,1185700,18.1
NVDA-0202,Emily Lopez,NVIDIA,NVDA,Research & AI,Staff,79.2,136500,2.5
NVDA-0203,Raj Silva,NVIDIA,NVDA,Operations,Staff,74.7,122300,7.9
NVDA-0204,Sofia Garcia,NVIDIA,NVDA,Operations,Principal,78.8,517700,7.7
NVDA-0205,Kevin Garcia,NVIDIA,NVDA,Operations,Director,69.5,2665800,8.9
NVDA-0206,Elena Yamamoto,NVIDIA,NVDA,People/HR,Principal,83.6,223400,3.5
NVDA-0207,James Singh,NVIDIA,NVDA,Product,Senior,75.8,169000,4.5
NVDA-0208,Ahmed Brown,NVIDIA,NVDA,Product,Staff,81.7,265700,1.4
NVDA-0209,James Lee,NVIDIA,NVDA,Operations,Senior Director,73.7,327000,12.0
NVDA-0210,Ahmed Hassan,NVIDIA,NVDA,Engineering,Senior,83.5,593800,2.5
NVDA-0211,Mary Hassan,NVIDIA,NVDA,Engineering,Director,75.2,452900,9.4
NVDA-0212,Kevin Brown,NVIDIA,NVDA,Design,Principal,92.9,624500,9.0
NVDA-0213,Mary Yamamoto,NVIDIA,NVDA,Engineering,Staff,88.5,218000,3.4
NVDA-0214,Thomas Kim,NVIDIA,NVDA,Sales & GTM,Staff,76.9,266900,5.0
NVDA-0215,Fatima Brown,NVIDIA,NVDA,Research & AI,SVP,96.3,1298300,11.3
NVDA-0216,Linda Hassan,NVIDIA,NVDA,Engineering,Senior,69.0,177400,7.5
NVDA-0217,Hiroshi Petrov,NVIDIA,NVDA,Marketing,Staff,81.9,173700,4.3
NVDA-0218,James Chen,NVIDIA,NVDA,Finance,Senior,79.6,445800,9.6
NVDA-0219,Emily Yamamoto,NVIDIA,NVDA,Research & AI,Senior,80.7,515200,2.0
NVDA-0220,John Park,NVIDIA,NVDA,Engineering,Staff,71.1,474900,13.0
NVDA-0221,Nina Schmidt,NVIDIA,NVDA,Legal & Policy,Staff,82.6,366100,2.7
NVDA-0222,Carlos Cohen,NVIDIA,NVDA,Sales & GTM,Principal,81.8,226500,12.1
NVDA-0223,Wei Reyes,NVIDIA,NVDA,Engineering,Staff,82.7,594900,7.8
NVDA-0224,Mary Rossi,NVIDIA,NVDA,People/HR,Director,93.0,443900,10.3
NVDA-0225,Yuki Okafor,NVIDIA,NVDA,Engineering,Senior,91.0,314200,2.0
NVDA-0226,Emily Cohen,NVIDIA,NVDA,Research & AI,Staff,79.9,359100,10.3
NVDA-0227,Maria Khan,NVIDIA,NVDA,Engineering,Senior,86.8,503100,3.9
NVDA-0228,John Davis,NVIDIA,NVDA,Engineering,Principal,67.8,690100,12.1
NVDA-0229,David Wilson,NVIDIA,NVDA,Product,Principal,83.8,603600,10.3
NVDA-0230,Samuel Silva,NVIDIA,NVDA,Operations,Director,72.4,831200,6.2
NVDA-0231,Hiroshi Johnson,NVIDIA,NVDA,Research & AI,Staff,78.9,205200,10.9
NVDA-0232,Arjun Patel,NVIDIA,NVDA,Product,VP,74.6,911800,7.3
NVDA-0233,Thomas Schmidt,NVIDIA,NVDA,Marketing,Senior,78.2,217100,2.6
NVDA-0234,John Garcia,NVIDIA,NVDA,Engineering,Senior,84.3,226500,6.4
NVDA-0235,John Silva,NVIDIA,NVDA,Operations,Principal,95.6,2121200,15.6
NVDA-0236,Grace Tanaka,NVIDIA,NVDA,Finance,VP,86.3,1049200,11.8
NVDA-0237,Grace Wang,NVIDIA,NVDA,People/HR,Director,88.7,803000,12.6
NVDA-0238,Linda Silva,NVIDIA,NVDA,Sales & GTM,Principal,75.2,179800,16.0
NVDA-0239,Olivia Schmidt,NVIDIA,NVDA,Engineering,Principal,85.2,547000,9.9
NVDA-0240,Priya Kim,NVIDIA,NVDA,Product,Senior,80.1,196000,5.9
NVDA-0241,Fatima Patel,NVIDIA,NVDA,Finance,Staff,85.7,580900,12.9
NVDA-0242,Thomas Reyes,NVIDIA,NVDA,Engineering,Senior Director,84.0,407400,7.8
NVDA-0243,Nina Davis,NVIDIA,NVDA,Operations,Senior,79.9,409400,11.8
NVDA-0244,Sofia Khan,NVIDIA,NVDA,Product,Senior,61.2,140800,7.4
NVDA-0245,Samuel Petrov,NVIDIA,NVDA,Marketing,Director,74.6,313600,11.4
NVDA-0246,James Park,NVIDIA,NVDA,Product,Senior Director,87.1,2184100,8.7
NVDA-0247,Thomas Brown,NVIDIA,NVDA,Product,VP,78.3,1299600,13.2
NVDA-0248,Daniel Petrov,NVIDIA,NVDA,Sales & GTM,VP,76.4,358900,11.2
NVDA-0249,Hannah Yamamoto,NVIDIA,NVDA,Operations,Senior,92.7,338600,1.5
NVDA-0250,Maria Wang,NVIDIA,NVDA,People/HR,Senior,85.6,601700,6.4
NVDA-0251,Maria Murphy,NVIDIA,NVDA,Operations,Senior,92.0,247500,6.0
NVDA-0252,Samuel Tanaka,NVIDIA,NVDA,Engineering,Senior Director,82.8,689500,7.1
NVDA-0253,Daniel Murphy,NVIDIA,NVDA,Research & AI,Senior,81.8,116100,10.0
NVDA-0254,Chen Reyes,NVIDIA,NVDA,Engineering,Staff,70.5,361200,4.6
NVDA-0255,Emily Cohen,NVIDIA,NVDA,Engineering,VP,89.0,1767600,14.4
NVDA-0256,Arjun Rossi,NVIDIA,NVDA,Legal & Policy,VP,85.2,2087000,11.7
NVDA-0257,Olivia Silva,NVIDIA,NVDA,Design,SVP,100.0,3790800,8.8
NVDA-0258,Thomas Kim,NVIDIA,NVDA,Product,Senior,71.6,221300,2.5
NVDA-0259,James Schmidt,NVIDIA,NVDA,Engineering,Senior,85.5,95000,8.8
NVDA-0260,Raj Petrov,NVIDIA,NVDA,Sales & GTM,Principal,93.7,753900,4.5
NVDA-0261,Olivia Wilson,NVIDIA,NVDA,Marketing,Director,83.4,525200,7.6
NVDA-0262,Maria Davis,NVIDIA,NVDA,Engineering,Senior,100.0,480600,7.3
NVDA-0263,Emily Wilson,NVIDIA,NVDA,Finance,Senior,70.3,490000,8.2
NVDA-0264,Elena Hassan,NVIDIA,NVDA,Engineering,Senior,95.6,354800,5.4
NVDA-0265,Priya Rossi,NVIDIA,NVDA,Engineering,Principal,71.1,314400,5.1
NVDA-0266,John Tanaka,NVIDIA,NVDA,Research & AI,Senior,83.7,243700,7.3
NVDA-0267,Priya Nguyen,NVIDIA,NVDA,Marketing,Principal,72.1,588000,9.1
NVDA-0268,Yuki Martinez,NVIDIA,NVDA,Operations,Staff,76.9,719900,1.7
NVDA-0269,Zoe Silva,NVIDIA,NVDA,Engineering,Senior Director,78.4,1749000,12.8
NVDA-0270,James Garcia,NVIDIA,NVDA,People/HR,Staff,87.8,207600,10.8
NVDA-0271,Olivia Garcia,NVIDIA,NVDA,Research & AI,Principal,87.7,307400,4.5
NVDA-0272,Grace Davis,NVIDIA,NVDA,Product,Senior,83.6,284900,4.0
NVDA-0273,Fatima Rossi,NVIDIA,NVDA,People/HR,VP,75.1,2033200,9.1
NVDA-0274,Olivia Okafor,NVIDIA,NVDA,People/HR,Principal,74.8,1702000,16.7
NVDA-0275,Hannah Murphy,NVIDIA,NVDA,Engineering,Senior,72.6,157100,4.1
NVDA-0276,Kevin Khan,NVIDIA,NVDA,Engineering,Senior Director,100.0,1418900,6.8
NVDA-0277,Olivia Khan,NVIDIA,NVDA,Research & AI,Principal,73.5,230500,11.5
NVDA-0278,David Lopez,NVIDIA,NVDA,Marketing,Senior,76.3,161400,14.8
NVDA-0279,Fatima Wilson,NVIDIA,NVDA,Research & AI,Senior,90.6,72300,2.6
NVDA-0280,Michael Park,NVIDIA,NVDA,Operations,Senior,83.3,247300,3.3
NVDA-0281,Zoe Okafor,NVIDIA,NVDA,Design,Staff,75.6,587500,3.6
NVDA-0282,Yuki Garcia,NVIDIA,NVDA,Research & AI,Staff,78.9,190200,0.9
NVDA-0283,Raj Schmidt,NVIDIA,NVDA,Engineering,Senior,62.6,456500,4.1
NVDA-0284,Nina Anderson,NVIDIA,NVDA,Research & AI,Senior,63.8,143400,1.4
NVDA-0285,Michael Garcia,NVIDIA,NVDA,Legal & Policy,Senior Director,76.9,1184000,9.0
NVDA-0286,Priya Silva,NVIDIA,NVDA,Sales & GTM,Principal,83.1,773600,5.7
NVDA-0287,Grace Okafor,NVIDIA,NVDA,Sales & GTM,Principal,90.0,1073700,6.1
NVDA-0288,Zoe Petrov,NVIDIA,NVDA,Engineering,Staff,96.4,690800,1.6
